Duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.559403,0.0936817,-0.0345335,-0.00151374,0.000543252,-7.20112,30.8549,-45.9294,23.4467,0.176702,0.018483,-0.00357696,-0.00047086,2.79594,-12.1214,18.1719,-9.32063,0.3,-1.13666e-16,1.9272e-16,1.26076e-16,1.06963e-14,-4.10791e-14,8.99443e-14,-4.47002e-14,0,0,0,0,0,0,0,0
0.559403,0.0535057,-0.0371838,-0.00110787,9.14339e-05,-7.65477,32.8204,-48.8709,24.9532,0.19271,0.0102147,-0.00350001,8.91553e-05,1.19931,-5.27,7.96069,-4.10322,0.3,5.88515e-17,9.14196e-17,-3.78153e-17,5.92713e-15,-2.79584e-14,4.40506e-14,-2.32608e-14,0,0,0,0,0,0,0,0
0.559403,0.0108278,-0.0387323,-0.000158003,0.000302788,-7.7246,33.151,-49.3928,25.2299,0.199707,0.00216009,-0.00379358,-7.9379e-05,-0.4815,1.93657,-2.76872,1.3745,0.3,-5.00947e-17,1.32801e-16,2.7256e-16,1.15024e-15,-5.11427e-15,7.59966e-15,-3.81297e-15,0,0,0,0,0,0,0,0
0.559403,-0.0323564,-0.0381955,0.000587328,0.000212596,-7.44438,31.9747,-47.663,24.354,0.197365,-0.00629318,-0.00367976,6.76991e-05,-2.12769,9.00575,-13.3058,6.75848,0.3,-1.87356e-17,-1.63881e-17,1.0814e-16,-2.0798e-15,9.72516e-15,-1.52889e-14,8.13404e-15,0,0,0,0,0,0,0,0
0.559403,-0.0740276,-0.0359909,0.00139644,0.000236207,-6.81127,29.2847,-43.6796,22.3277,0.185795,-0.014324,-0.00349292,7.73167e-05,-3.67961,15.674,-23.2478,11.8391,0.3,2.50705e-17,1.88333e-17,1.30054e-16,3.37166e-15,-1.59186e-14,2.50762e-14,-1.3218e-14,0,0,0,0,0,0,0,0
0.559403,-0.112237,-0.0320524,0.00210097,0.000195488,-5.86174,25.2334,-37.6645,19.2624,0.165538,-0.0217403,-0.0031001,0.000141139,-5.05723,21.6007,-32.0911,16.3607,0.3,-2.6655e-17,9.27679e-17,2.20727e-16,2.17416e-17,-1.58886e-16,3.20708e-16,-1.8977e-16,0,0,0,0,0,0,0,0
0.559403,-0.145199,-0.0266372,0.00272418,0.000168582,-4.63723,19.9987,-29.8837,15.2942,0.13754,-0.0281162,-0.0025807,0.000173476,-6.19934,26.521,-39.4389,20.1197,0.3,2.13179e-18,1.54622e-17,2.38551e-17,3.72026e-16,-2.30998e-15,4.42024e-15,-2.64516e-15,0,0,0,0,0,0,0,0
0.559403,-0.171371,-0.019967,0.00321273,0.000123887,-3.19627,13.8304,-20.7075,10.6118,0.103111,-0.0331877,-0.0019327,0.000208393,-7.05116,30.1997,-44.9404,22.9368,0.3,1.48986e-17,1.04681e-16,1.33905e-17,3.80134e-15,-1.7419e-14,2.66818e-14,-1.37484e-14,0,0,0,0,0,0,0,0
0.559403,-0.189531,-0.0123672,0.00355416,7.77161e-05,-1.6057,7.01484,-10.5623,5.43286,0.0638603,-0.036703,-0.00119778,0.000229017,-7.57346,32.467,-48.3415,24.6819,0.3,-4.6421e-17,2.15041e-17,2.9086e-16,-1.20005e-15,5.90605e-15,-9.767e-15,5.44169e-15,0,0,0,0,0,0,0,0
0.559403,-0.198828,-0.00418731,0.00372815,2.59336e-05,0.0598926,-0.128528,0.0765864,-1.46612e-14,0.0216238,-0.0385039,-0.000405277,0.000240763,-7.74155,33.2158,-49.4817,25.2727,0.3,8.54965e-18,-1.02034e-18,2.52378e-16,4.37487e-15,-1.90677e-14,2.78035e-14,-1.37609e-14,0,0,0,0,0,0,0,0
